The following base tokens are supported:

Symbol          Address                                            Decimals        Program        
USEDCAR         9gwTegFJJErDpWJKjPfLr2g2zrE3nL1v5zpwbtsk3c6P       9               2020           
SNOOFI          7M9KJcPNC65ShLDmJmTNhVFcuY95Y1VMeYngKgt67D1t       6               2020           
TREMP           FU1q8vJpZNUrmqsciSjp8bAKKidGsLmouB8CBdf8TKQv       9               2020           
WOLF            Faf89929Ni9fbg4gmVZTca7eW6NFg877Jqn6MizT3Gvw       8               2020           
HARAMBE         Fch1oixTPri8zxBnmdCEADoJW2toyFHxqDZacQkwdvSP       9               2020           
BRAINLET        8NNXWrWVctNw1UFeaBypffimTdcLCcD8XJzHvYsmgwpF       6               2020           
SC              6D7NaB2xsLd7cauWu1wKk6KBsJohJmP2qZH9GEfVi5Ui       6               2020           
RETARDIO        6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx       6               2020           
MICHI           5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp       6               2020           
PNUT            2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump       6               2020           
CBBTC           cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij        8               2020           
MEMESAI         39qibQxVzemuZTEvjSB7NePhw9WyyHdQCqP8xmBMpump       6               2020           
BILLY           3B5wuUrMEi5yATD7on46hKfej3pfmd7t1RKgrsN3pump       6               2020           
HAPPY           HAPPYwgFcjEJDzRtfWE6tiHE9zGdzpNky2FvjPHsvvGZ       9               2020           
AI16Z           HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC       9               2022           
GNON            HeJUFDxfJSzYFUuHLxkMqCgytU31G6mjP4wKviwqpump       6               2020           
BUU             28tVhteKZkzzWjrdHGXzxfm4SQkhrDrjLur9TYCDVULE       9               2020           
SHOGGOTH        H2c31USxu35MDkBrGph8pUDUnmzo2e4Rf4hnvL2Upump       6               2020           
GRWR            8cdKqQsEaa1L6tCavTTtCYqhMTwxe1BiBR2rMnjivb4k       6               2022           
GRASS           Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs       9               2020           
SIGMA           5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump       6               2020           
MIST            FjTJCCQpLU4fpH58mN1bTQXiQsjJVYai3QYFjYqYpump       6               2020           
LUCE            CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump       6               2020           
PIPPIN          Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump       6               2020           
CENT            C9FVTtx4WxgHmz55FEvQgykq8rqiLS8xRBVgqQVtpump       6               2020           
EARL            BjjvKX5k7gQoGRmvQAA5WMr7EkQ2cirGTSGxAznDpump       6               2020           
TOAD            FViMp5phQH2bX81S7Yyn1yXjj3BRddFBNcMCbTH8FCze       4               2020           
NOMNOM          6ZrYhkwvoYE4QqzpdzJ7htEHwT2u2546EkTNJ7qepump       6               2020           
PROJECT89       Bz4MhmVRQENiCou7ZpJ575wpjNFjBjVBSiVhuNg1pump       6               2020           
GINNAN          GinNabffZL4fUj9Vactxha74GDAW8kDPGaHqMtMzps2f       6               2020           
ZEUS            ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq        6               2020           
MINI            2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP       6               2020           
SELFIE          9WPTUkh8fKuCnepRWoPYLH3aK9gSjPHFDenBq2X1Czdp       6               2020           
HAGGIS          U237C8hKyZYL42TEtTv6JGtdwDr3pZaQeeWMCVVpump        6               2020           
NOS             nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7        6               2020           
CATANA          GmbC2HgWpHpq9SHnmEXZNT5e1zgcU9oASDqbAkGTpump       6               2020           
OPUS            9JhFqCA21MoAXs2PTaeqNQp2XngPn1PgYr2rsEVCpump       6               2020           
WDOG            GYKmdfcUmZVrqfcH1g579BGjuzSRijj3LBuwv79rpump       6               2020           
EURC            HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr       6               2020           
USDS            USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA        6               2020           
CHILLGUY        Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump       6               2020           
SPX6900         J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr       8               2020           
FRED            CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump       6               2020           
ELIZA           5voS9evDjxF589WuEub5i4ti7FWQmZCsAsyD5ucbuRqM       6               2020           
RIF             GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump       6               2020           
VVAIFU          FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8       6               2020           
ZEREBRO         8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn       6               2020           

